;Mrf#;Product Link;Unit Price(USD);Quantity;Ext.Price(USD);Description;;;;;;;;;;;;
1;CL05B104KO5NNNC;https://www.lcsc.com/product-detail/C1525.html;0.0031;49;0.31;100nF ±10% 16V Ceramic Capacitor X7R 0402;;;;;;;;;;;;
2;TCC0402X6S475M6R3AT;https://www.lcsc.com/product-detail/C50767367.html;0.0101;4;0.51;4.7uF X6S ±20% 6.3V 0402 Ceramic Capacitors RoHS;;;;;;;;;;;;
3;CL05B103KB5NNNC;https://www.lcsc.com/product-detail/C15195.html;0.0025;4;0.25;10nF ±10% 50V Ceramic Capacitor X7R 0402;;;;;;;;;;;;
4;CC0402DRNPO9BN150;https://www.lcsc.com/product-detail/C526978.html;0.0015;2;0.15;15pF 50V Ceramic Capacitor NP0 0402;;;;;;;;;;;;
5;CL10A106KO8NQNC;https://www.lcsc.com/product-detail/C962136.html;0.0433;5;0.43;10uF ±10% 16V Ceramic Capacitor X5R 0603;;;;;;;;;;;;
6;CC0805KKX7R9BB105;https://www.lcsc.com/product-detail/C91185.html;0.0455;4;2.28;1uF ±10% 50V Ceramic Capacitor X7R 0805;;;;;;;;;;;;
7;CL05A474KA5NNNC;https://www.lcsc.com/product-detail/C92361.html;0.0163;1;0.16;470nF ±10% 25V Ceramic Capacitor X5R 0402;;;;;;;;;;;;
8;CL21A226MAYNNNE;https://www.lcsc.com/product-detail/C602037.html;0.1138;4;1.14;22uF ±20% 25V Ceramic Capacitor X5R 0805;;;;;;;;;;;;
9;CL05A225MQ5NSNC;https://www.lcsc.com/product-detail/C12530.html;0.0078;3;0.78;2.2uF ±20% 6.3V Ceramic Capacitor X5R 0402;;;;;;;;;;;;
10;GRM155B31E105KA12D;https://www.lcsc.com/product-detail/C913556.html;0.0085;5;0.43;1uF ±10% 25V Ceramic Capacitor 0402;;;;;;;;;;;;
11;CL10A105KB8NNNC;https://www.lcsc.com/product-detail/C15849.html;0.0130;16;0.65;1uF ±10% 50V Ceramic Capacitor X5R 0603;;;;;;;;;;;;
12;CC0805KKX7R9BB105;https://www.lcsc.com/product-detail/C91185.html;0.0455;2;2.28;1uF ±10% 50V Ceramic Capacitor X7R 0805;;;;;;;;;;;;
13;CL32B106KBJNNNE;https://www.lcsc.com/product-detail/C138687.html;0.2901;2;0.58;10uF ±10% 50V Ceramic Capacitor X7R 1210;;;;;;;;;;;;
14;CL10A225KB8NNNC;https://www.lcsc.com/product-detail/C913904.html;0.0400;1;0.40;2.2uF ±10% 50V Ceramic Capacitor X5R 0603;;;;;;;;;;;;
15;GRM21BR61E106MA73L;https://www.lcsc.com/product-detail/C391262.html;0.0326;23;1.30;10uF ±20% 25V Ceramic Capacitor X5R 0805;;;;;;;;;;;;
16;CC0402DRNPO9BN5R1;https://www.lcsc.com/product-detail/C541354.html;0.0016;1;0.16;5.1pF 50V Ceramic Capacitor NP0 0402;;;;;;;;;;;;
17;KT-0805G;https://www.lcsc.com/product-detail/C2297.html;0.0163;1;0.82;Emerald Green 525nm LED Indication - Discrete 2.6V~3.1V 0805;;;;;;;;;;;;
18;F.0603.00026/P2-0603B1TS2-06T-001;https://www.lcsc.com/product-detail/C7496819.html;0.0044;1;0.44;Blue 462nm LED Indication - Discrete 2.5V~2.9V 0603;;;;;;;;;;;;
19;KT-0603R;https://www.lcsc.com/product-detail/C2286.html;0.0073;1;0.73;Red 645nm LED Indication - Discrete 2.4V 0603;;;;;;;;;;;;
20;KT-0805Y;https://www.lcsc.com/product-detail/C2296.html;0.0123;1;0.62;Yellow 596nm LED Indication - Discrete 1.8V~2.4V 0805;;;;;;;;;;;;
21;1SS404;https://www.lcsc.com/product-detail/C2100.html;0.0360;1;0.72;Diode 20V 300mA Surface Mount SOD-323;;;;;;;;;;;;
22;SS210;https://www.lcsc.com/product-detail/C14996.html;0.0291;1;1.46;Diode 100V 2A Surface Mount SMA(DO-214AC);;;;;;;;;;;;
23;SMAJ30A;https://www.lcsc.com/product-detail/C10767.html;0.0699;1;0.70;48.4VC Clamp 8.3A@10/1000us Ipp TVS DIODE DO-214AC(SMA);;;;;;;;;;;;
24;SM08B-SRSS-TB(LF)(SN);https://www.lcsc.com/product-detail/C160407.html;0.3186;2;1.59;Connector Header 8 position 1mm Pitch 1A Surface Mount, Right Angle -25℃~+85℃;;;;;;;;;;;;
25;472192001;https://www.lcsc.com/product-detail/C164170.html;0.7566;1;0.76;Micro SD card (TF card) Connector and Ejector Hinged Lid Surface Mount;;;;;;;;;;;;
26;HX PZ1.0-2x5P ZZ;https://www.lcsc.com/product-detail/C22438182.html;0.0789;6;0.79;Pin Header 10 Position 1mm Pitch Dual Row Through Hole -40℃~+105℃;;;;;;;;;;;;
27;GPCA101-0502A001C1AA;https://www.lcsc.com/product-detail/C5138889.html;0.1754;8;1.75;Pin Header 5 Position 1mm Pitch Single Row Through Hole -40℃~+105℃;;;;;;;;;;;;
28;FC-ALX 5050D-150MT;https://www.lcsc.com/product-detail/C5370912.html;0.8411;1;0.84;5.5A 15uH ±20% 6.5A 45mΩ Molded Inductor SMD,5.1x5.3mm Fixed Inductors RoHS;;;;;;;;;;;;
29;CYN5040-22UH;https://www.lcsc.com/product-detail/C2879700.html;0.1140;2;0.57;1.4A 22uH ±20% 129mΩ 1.8A SMD,5x5mm Fixed Inductors RoHS;;;;;;;;;;;;
30;AOTA-B201610S3R3-101-T;https://www.lcsc.com/product-detail/C42411119.html;0.2838;1;1.42;2.1A 3.3uH 115mΩ 2.4A Molded Inductor 0806 Fixed Inductors RoHS;;;;;;;;;;;;
